waifu_id,name,series,series_id,genre,rarity,image_url,favorites,about,stats,elemental_type,archetype,potency,elemental_resistances,favorite_gifts,special_dialogue
11,Hime Haruno,Acchi Kocchi,2,Anime,2,https://cdn.myanimelist.net/images/characters/11/161545.jpg,86,"Age: 15-16
Height: 160 cm
Blood Type: A
Likes: Io Otonashi 
Hair Color: Brown
Eye Color: Brown
One of the characters from the series Acchi Kocchi. She tends to have constant nosebleeds when something cute happens between the main characters Tsumiki and Io. Sometimes even thinking of them or any kind of relationship in general causes her to have a nosebleed.","{""hp"": 71, ""atk"": 56, ""mag"": 70, ""vit"": 67, ""spr"": 100, ""int"": 101, ""spd"": 73, ""lck"": 81}","[""light""]",Healer,"{""Mage"": ""D"", ""Attacker"": ""D"", ""Healer"": ""S"", ""Buffer"": ""S"", ""Debuffer"": ""C"", ""Defender"": ""D"", ""Specialist"": ""D""}","{""fire"": ""neutral"", ""water"": ""neutral"", ""earth"": ""neutral"", ""wind"": ""neutral"", ""nature"": ""neutral"", ""neutral"": ""neutral"", ""void"": ""neutral"", ""light"": ""resist"", ""dark"": ""weak""}","[""Hair Ribbon"", ""Necklace""]",{}
12,Mayoi Katase,Acchi Kocchi,2,Anime,2,https://cdn.myanimelist.net/images/characters/15/170999.jpg,152,"Along with Sakaki, she makes up the prankster duo in the friendship circle. Very savvy with electronics and almost never seen without her lab-coat. Loves to tease Tsumiki which often brought her severe repercussions from Tsumiki herself.
(Source: Wikipedia)","{""hp"": 70, ""atk"": 73, ""mag"": 93, ""vit"": 68, ""spr"": 122, ""int"": 137, ""spd"": 98, ""lck"": 82}","[""earth""]",Engineer,"{""Mage"": ""C"", ""Attacker"": ""C"", ""Healer"": ""C"", ""Buffer"": ""S"", ""Debuffer"": ""C"", ""Defender"": ""C"", ""Specialist"": ""C""}","{""fire"": ""neutral"", ""water"": ""neutral"", ""earth"": ""resist"", ""wind"": ""weak"", ""nature"": ""neutral"", ""neutral"": ""neutral"", ""void"": ""neutral"", ""light"": ""neutral"", ""dark"": ""neutral""}","[""Chocolate"", ""Roses"", ""Hair Ribbon""]",{}
13,Tsumiki Miniwa,Acchi Kocchi,2,Anime,3,https://cdn.myanimelist.net/images/characters/5/161551.jpg,1774,"Age: 15-16
Birthday: January 11
The shortest heroine and the tsundere in her circle of friends, has a crush on Io. Every time when Io gives Tsumiki a pat on the head or sees something she likes, her hair changes shape into cat ears.
(Source: Wikipedia)","{""hp"": 124, ""atk"": 136, ""mag"": 60, ""vit"": 125, ""spr"": 71, ""int"": 62, ""spd"": 95, ""lck"": 64}","[""neutral""]",Berserker,"{""Mage"": ""F"", ""Attacker"": ""C"", ""Healer"": ""F"", ""Buffer"": ""D"", ""Debuffer"": ""D"", ""Defender"": ""D"", ""Specialist"": ""D""}","{""fire"": ""neutral"", ""water"": ""neutral"", ""earth"": ""neutral"", ""wind"": ""neutral"", ""nature"": ""neutral"", ""neutral"": ""resist"", ""void"": ""neutral"", ""light"": ""neutral"", ""dark"": ""neutral""}","[""Chocolate"", ""Roses"", ""Hair Ribbon""]",{}
14,Miiko Inui,Acchi Kocchi,2,Anime,1,https://cdn.myanimelist.net/images/characters/5/161563.jpg,17,"The shop manager of the cake shop Hach Poch (ハチポチ) and Sakaki's elder sister. She has waist-length light brown hair and is always smiling.
(Source: Wikipedia)","{""hp"": 85, ""atk"": 89, ""mag"": 84, ""vit"": 90, ""spr"": 90, ""int"": 88, ""spd"": 89, ""lck"": 91}","[""neutral""]",Ally,"{""Mage"": ""C"", ""Attacker"": ""C"", ""Healer"": ""B"", ""Buffer"": ""B"", ""Debuffer"": ""C"", ""Defender"": ""C"", ""Specialist"": ""C""}","{""fire"": ""neutral"", ""water"": ""neutral"", ""earth"": ""neutral"", ""wind"": ""neutral"", ""nature"": ""neutral"", ""neutral"": ""neutral"", ""void"": ""neutral"", ""light"": ""neutral"", ""dark"": ""neutral""}","[""Chocolate"", ""Roses"", ""Hair Ribbon""]",{}
15,Kana Miyama,Acchi Kocchi,2,Anime,1,https://cdn.myanimelist.net/images/characters/6/161567.jpg,4,,"{""hp"": 66, ""atk"": 91, ""mag"": 103, ""vit"": 68, ""spr"": 69, ""int"": 75, ""spd"": 129, ""lck"": 132}","[""wind""]",Trickster,"{""Mage"": ""C"", ""Attacker"": ""C"", ""Healer"": ""C"", ""Buffer"": ""C"", ""Debuffer"": ""S"", ""Defender"": ""C"", ""Specialist"": ""C""}","{""fire"": ""neutral"", ""water"": ""neutral"", ""earth"": ""weak"", ""wind"": ""resist"", ""nature"": ""neutral"", ""neutral"": ""neutral"", ""void"": ""neutral"", ""light"": ""neutral"", ""dark"": ""neutral""}","[""Chocolate"", ""Roses"", ""Hair Ribbon""]",{}
16,Saki Sakimori,Acchi Kocchi,2,Anime,1,https://cdn.myanimelist.net/images/characters/11/161565.jpg,12,"A student with waist-length blond hair, cat's ears, and green eyes.
(Source: Wikipedia)","{""hp"": 99, ""atk"": 99, ""mag"": 84, ""vit"": 97, ""spr"": 94, ""int"": 96, ""spd"": 92, ""lck"": 102}","[""neutral""]",Champion,"{""Mage"": ""C"", ""Attacker"": ""B"", ""Healer"": ""C"", ""Buffer"": ""C"", ""Debuffer"": ""C"", ""Defender"": ""B"", ""Specialist"": ""C""}","{""fire"": ""neutral"", ""water"": ""neutral"", ""earth"": ""neutral"", ""wind"": ""neutral"", ""nature"": ""neutral"", ""neutral"": ""neutral"", ""void"": ""neutral"", ""light"": ""neutral"", ""dark"": ""neutral""}","[""Chocolate"", ""Roses"", ""Hair Ribbon""]",{}
17,Kikue Sakuragawa,Acchi Kocchi,2,Anime,1,https://cdn.myanimelist.net/images/characters/10/161571.jpg,8,"A clumsy teacher with shoulder-length greyish-light-blue hair and green eyes. She is single.
(Source: Wikipedia)","{""hp"": 87, ""atk"": 83, ""mag"": 87, ""vit"": 89, ""spr"": 84, ""int"": 91, ""spd"": 87, ""lck"": 85}","[""neutral""]",Ally,"{""Mage"": ""C"", ""Attacker"": ""C"", ""Healer"": ""B"", ""Buffer"": ""B"", ""Debuffer"": ""C"", ""Defender"": ""C"", ""Specialist"": ""C""}","{""fire"": ""neutral"", ""water"": ""neutral"", ""earth"": ""neutral"", ""wind"": ""neutral"", ""nature"": ""neutral"", ""neutral"": ""neutral"", ""void"": ""neutral"", ""light"": ""neutral"", ""dark"": ""neutral""}","[""Chocolate"", ""Roses"", ""Hair Ribbon""]",{}
18,Reina Aharen,Aharen-san wa Hakarenai,3,Anime,3,https://cdn.myanimelist.net/images/characters/7/370529.jpg,676,"A girl who is not good at keeping a good distance with others. One day, Shouta Raidou, who was sitting next to her, picked up the eraser she dropped on the floor for her. It was the start of her interest in him.
Reina is a short teenage girl with long silver hair and deep blue eyes. She is seen most of the time to have a stoic expression even when laughing or crying. Despite that, she is capable of smiling and becoming cheerful, mostly when Raido is present. She is mostly seen in her school uniform that consists of dark blue button-up outfit over a white dress shirt, a dark navy skirt, long black tights, and brown penny loafers.
Reina is a quiet and timid girl with a bad sense of gauging interpersonal distance. She is shy when talking to people she just met, to the point where her voice becomes so soft it's almost inaudible. Inversely, she often becomes too excited when interacting with people which leads her to act overtly familiar to people she just met. This coupled with her generally expressionless face has led to her being ostracized in the past which made her scared to get close to others. Due to this, Reina is incredibly appreciative to those who accept her despite her strange behaviors such as her friends and family. She often feels obliged to repay their kindness to her with whatever means she has (e.g: making them food, teaching them, etc).
Due to her inability to gauge interpersonal distance, Reina is often self-conscious of the way she is viewed by her friends. She also fears being a burden to them due to her own perceived inability. Despite that, she is willing to step up when her friends need her and isn't afraid to show her appreciation to them. Reina values the friends she has made in high school greatly and has expressed her desire that she wishes for them to continue being friends long after their graduation.
(Source: Aharen-san wa Hakarenai Wiki)","{""hp"": 64, ""atk"": 101, ""mag"": 71, ""vit"": 65, ""spr"": 71, ""int"": 66, ""spd"": 126, ""lck"": 135}","[""void""]",Ninja,"{""Mage"": ""D"", ""Attacker"": ""D"", ""Healer"": ""D"", ""Buffer"": ""D"", ""Debuffer"": ""D"", ""Defender"": ""D"", ""Specialist"": ""S""}","{""fire"": ""neutral"", ""water"": ""neutral"", ""earth"": ""neutral"", ""wind"": ""neutral"", ""nature"": ""neutral"", ""neutral"": ""neutral"", ""void"": ""resist"", ""light"": ""neutral"", ""dark"": ""neutral""}","[""Chocolate"", ""Cake""]",{}
19,Eru Aharen,Aharen-san wa Hakarenai,3,Anime,1,https://cdn.myanimelist.net/images/characters/5/474769.jpg,22,Reina's little sister.,"{""hp"": 67, ""atk"": 88, ""mag"": 103, ""vit"": 66, ""spr"": 64, ""int"": 83, ""spd"": 132, ""lck"": 131}","[""wind""]",Trickster,"{""Mage"": ""C"", ""Attacker"": ""C"", ""Healer"": ""C"", ""Buffer"": ""C"", ""Debuffer"": ""S"", ""Defender"": ""C"", ""Specialist"": ""C""}","{""fire"": ""neutral"", ""water"": ""neutral"", ""earth"": ""weak"", ""wind"": ""resist"", ""nature"": ""neutral"", ""neutral"": ""neutral"", ""void"": ""neutral"", ""light"": ""neutral"", ""dark"": ""neutral""}","[""Chocolate"", ""Roses"", ""Hair Ribbon""]",{}
20,Futaba,Aharen-san wa Hakarenai,3,Anime,1,https://cdn.myanimelist.net/images/characters/2/597246.jpg,4,Atsushi's prideful childhood friend. She distrusts Aharen for stealing Atsushi's attention away from her but is generally a good girl.,"{""hp"": 88, ""atk"": 91, ""mag"": 89, ""vit"": 93, ""spr"": 90, ""int"": 91, ""spd"": 86, ""lck"": 86}","[""neutral""]",Ally,"{""Mage"": ""C"", ""Attacker"": ""C"", ""Healer"": ""B"", ""Buffer"": ""B"", ""Debuffer"": ""C"", ""Defender"": ""C"", ""Specialist"": ""C""}","{""fire"": ""neutral"", ""water"": ""neutral"", ""earth"": ""neutral"", ""wind"": ""neutral"", ""nature"": ""neutral"", ""neutral"": ""neutral"", ""void"": ""neutral"", ""light"": ""neutral"", ""dark"": ""neutral""}","[""Chocolate"", ""Roses"", ""Hair Ribbon""]",{}
21,Miyahira-sensei,Aharen-san wa Hakarenai,3,Anime,1,https://cdn.myanimelist.net/images/characters/6/476738.jpg,4,"A teacher in the school. She's a friend of Toubaru-sensei, and sometimes calls her Momo-chan.","{""hp"": 69, ""atk"": 58, ""mag"": 69, ""vit"": 73, ""spr"": 95, ""int"": 102, ""spd"": 65, ""lck"": 80}","[""light""]",Healer,"{""Mage"": ""D"", ""Attacker"": ""D"", ""Healer"": ""S"", ""Buffer"": ""S"", ""Debuffer"": ""C"", ""Defender"": ""D"", ""Specialist"": ""D""}","{""fire"": ""neutral"", ""water"": ""neutral"", ""earth"": ""neutral"", ""wind"": ""neutral"", ""nature"": ""neutral"", ""neutral"": ""neutral"", ""void"": ""neutral"", ""light"": ""resist"", ""dark"": ""weak""}","[""Chocolate"", ""Roses"", ""Hair Ribbon""]",{}
22,Mitsuki Ooshiro,Aharen-san wa Hakarenai,3,Anime,2,https://cdn.myanimelist.net/images/characters/13/459768.jpg,19,"Mitsuki is a tall girl with burn orange hair and crimson eyes.
She wears a light orange sweater vest over a white dress shirt with red bow, a black skirt, white stockings, and brown penny loafers.
Mitsuki is a nervous and shy girl who always blushed easily and gets a confused expression in her face. She is quite of a mysterious in order to protect Reina from Raido in a distance.
(Source: Aharen-san wa Hakarenai Wiki)","{""hp"": 93, ""atk"": 103, ""mag"": 90, ""vit"": 98, ""spr"": 90, ""int"": 86, ""spd"": 100, ""lck"": 95}","[""neutral""]",Champion,"{""Mage"": ""C"", ""Attacker"": ""B"", ""Healer"": ""C"", ""Buffer"": ""C"", ""Debuffer"": ""C"", ""Defender"": ""B"", ""Specialist"": ""C""}","{""fire"": ""neutral"", ""water"": ""neutral"", ""earth"": ""neutral"", ""wind"": ""neutral"", ""nature"": ""neutral"", ""neutral"": ""neutral"", ""void"": ""neutral"", ""light"": ""neutral"", ""dark"": ""neutral""}","[""Chocolate"", ""Cake""]",{}
23,Hanako Satou,Aharen-san wa Hakarenai,3,Anime,2,https://cdn.myanimelist.net/images/characters/6/462996.jpg,6,"Hanako is of average height. She has short black hair and black eyes.
She wears a brown vest over a white dress shirt, red bow, a black skirt, knee length white socks, and brown penny loafers.
Hanako is a kind-hearted and sweet however she wants to keep herself as a ""ordinary"" girl.
She loves Ishikawa. Though Ishikawa seems to know it, he appears to have a secret affection for someone of their friends, but not her.
(Source: Aharen-san wa Hakarenai Wiki)","{""hp"": 93, ""atk"": 84, ""mag"": 86, ""vit"": 96, ""spr"": 84, ""int"": 88, ""spd"": 86, ""lck"": 86}","[""neutral""]",Ally,"{""Mage"": ""C"", ""Attacker"": ""C"", ""Healer"": ""B"", ""Buffer"": ""B"", ""Debuffer"": ""C"", ""Defender"": ""C"", ""Specialist"": ""C""}","{""fire"": ""neutral"", ""water"": ""neutral"", ""earth"": ""neutral"", ""wind"": ""neutral"", ""nature"": ""neutral"", ""neutral"": ""neutral"", ""void"": ""neutral"", ""light"": ""neutral"", ""dark"": ""neutral""}","[""Chocolate"", ""Cake""]",{}
24,Toubaru-sensei,Aharen-san wa Hakarenai,3,Anime,1,https://cdn.myanimelist.net/images/characters/3/476739.jpg,37,"Toubaru-sensei is the literature teacher at the school. She suffers from nose-bleeds and fainting whenever she witnesses Aharen-san and Raidou-kun together. She calls their behavior ""esteemed"".","{""hp"": 67, ""atk"": 58, ""mag"": 67, ""vit"": 68, ""spr"": 103, ""int"": 102, ""spd"": 65, ""lck"": 80}","[""light""]",Healer,"{""Mage"": ""D"", ""Attacker"": ""D"", ""Healer"": ""S"", ""Buffer"": ""S"", ""Debuffer"": ""C"", ""Defender"": ""D"", ""Specialist"": ""D""}","{""fire"": ""neutral"", ""water"": ""neutral"", ""earth"": ""neutral"", ""wind"": ""neutral"", ""nature"": ""neutral"", ""neutral"": ""neutral"", ""void"": ""neutral"", ""light"": ""resist"", ""dark"": ""weak""}","[""Chocolate"", ""Roses"", ""Hair Ribbon""]",{}
